Nr.,Name,Address,ISO,GLN / EAN,SASIS,Ofac
8,CSS Krankenversicherung AG,Tribschenstrasse 21<br>Postfach 2568<br>6002 Luzern<br>Tel. 058 277 11 11<br>Fax 058 277 12 12<br>css.info@css.ch<br>www.css.ch,610587,7601003001082,X,X
32,Aquilana Versicherungen,Bruggerstrasse 46<br>5401 Baden<br>Tel. 056 203 44 44<br>Fax 056 203 44 99<br>info@aquilana.ch<br>www.aquilana.ch,610665,7601003000184,X,X
57,Moove Sympany AG,Jupiterstrasse 15<br>Postfach 234<br>3000 Bern 15<br>Tel. 031 940 28 28<br>Fax 031 940 28 29<br>info.moove@sympany.ch<br>www.mooveSympany.ch,610670,7601003000351,X,X
62,SUPRA-1846 SA ,Chemin des Plaines 2<br>Case postale 190<br>1000 Lausanne 3<br>Tel. 0848 848 878<br>Fax 021 614 54 50<br>info@supra.ch<br>www.supra.ch,610533,7601003000016,<br>,X
134,Kranken- und Unfallkasse Bezirkskrankenkasse Einsiedeln,Hauptstrasse 61<br>Postfach 57<br>8840 Einsiedeln<br>Tel. 055 412 23 18<br>Fax 055 412 88 34<br>bezirkskrankenkasse@sihlnet.ch<br>www.kkeinsiedeln.ch,610507,7601003000566,X,X
182,PROVITA Gesundheitsversicherung AG<br>PROVITA assurance santé SA,Brunngasse 4<br>Postfach<br>8401 Winterthur<br>Tel. 052 260 02 02<br>Fax 052 260 02 03<br>info@provita.ch <br>www.provita.ch,610540,7601003004939,X,X
194,Sumiswalder Krankenkasse,Spitalstrasse 47<br>3454 Sumiswald<br>Tel. 034 432 30 60<br>Fax 034 432 30 61<br>info@sumiswalder.ch <br>www.sumiswalder.ch,610508,7601003001693,X,X
246,Genossenschaft Krankenkasse Steffisburg,Unterdorfstrasse 37<br>Postfach<br>3612 Steffisburg<br>Tel. 033 439 40 20<br>Fax 033 439 40 29<br>info@kkst.ch <br>www.kkst.ch,610509,7601003001686,X,X
290,CONCORDIA Schweiz. Kranken- und Unfallversicherung AG,Bundesplatz 15<br>6002 Luzern<br>Tel. 041 228 01 11<br>Fax 041 228 02 10<br>info@concordia.ch <br>www.concordia.ch,610628,7601003001099,X,X
294,Agilia Krankenkasse AG,Mühlering 5<br>Postfach 246<br>6102 Malters<br>Tel. 041 499 70 77<br>Fax 041 497 11 47<br>info@agilia.ch<br>www.agilia.ch,610513,7601003001143,X,X
312,Atupri Krankenkasse <br>Atupri Caisse-maladie <br>Atupri Cassa malati,Zieglerstrasse 29<br>3000 Bern 65<br>Tel. 031 555 09 11<br>Fax 031 555 09 12<br>info@atupri.ch <br>www.atupri.ch,610597,7601003000290,X,X
343,Avenir Assurance Maladie SA<br>Avenir Krankenversicherung AG<br>Avenir Assicurazione Malattia SA,Groupe Mutuel<br>Avenir Assurance Maladie<br>Rue des Cèdres 5<br>1920 Martigny<br>Tel. 0848 803 111<br>Fax 0848 803 112<br>info@groupemutuel.ch<br>www.groupemutuel.ch,610525 0343,7601003004137,X,X
360,Krankenkasse Luzerner Hinterland,Luzernstrasse 19<br>6144 Zell<br>Tel. 041 989 70 00<br>Fax 041 989 70 01<br>info@kklh.ch <br>www.kklh.ch,610516,7601003002140,X,X
376,KPT Krankenkasse AG<br>CPT Assurance SA<br>CPT Assicurazione SA,Tellstrasse 18<br>Postfach 8624<br>3001 Bern<br>Tel. 058 310 91 11<br>Fax 058 310 86 35<br>kpt@kpt.ch <br>www.kpt.ch,610526,7601003000382,X,X
455,ÖKK Kranken- und Unfallversicherungen AG,Bahnhofstrasse 9<br>7302 Landquart<br>Tel. 058 456 10 10<br>Fax 058 456 10 11<br>info@oekk.ch <br>www.oekk.ch,610653,7601003000894,X,X
509,Vivao Sympany AG,Peter Merian-Weg 4<br>4002 Basel<br>Tel. 058 262 42 00<br>Fax 058 262 42 02<br>basel.vivao@sympany.ch<br>www.sympany.ch,610654,7601003000207,X,X
558,Krankenversicherung Flaachtal AG,Bahnhofstrasse 22<br>Postfach 454<br>8180 Bülach<br>Tel. 058 456 17 60<br>Fax 058 456 17 61<br>info@kv-flaachtal.ch<br>www.kv-flaachtal.ch,610517,7601003000665,X,X
