Versicherer	Kanton	Geschäftsjahr	Region	HMO	HMO-ID	HMO-Name	Strasse	PLZ	Ort
0008	AG	2016	PR-REG CH0	01_016_12900	hmo4051H	Santémed Gesundheitszentrum	Henric Petri-Strasse 9	4051	Basel
0008	AG	2016	PR-REG CH0	01_016_06200	hmo4600F	Monvia Gesundheitszentrum Olten	Froburgstrasse 4	4600	Olten
0008	AG	2016	PR-REG CH0	01_016_03000	hmo5000	Sanacare Gruppenpraxis	Kasinostrasse 30	5000	Aarau
0008	AG	2016	PR-REG CH0	01_016_06500	hmo5036M	Monvia Gesundheitszentrum Oberentfelden	Muhenstrasse 13	5036	Oberentfelden
0008	AG	2016	PR-REG CH0	01_016_06300	hmo6034	Monvia Gesundheitszentrum Inwil	Hauptstrasse 35	6034	Inwil
0008	AG	2016	PR-REG CH0	01_016_01200	hmo6300	Centramed Praxis HMO	Baarerstrasse 8	6300	Zug
0008	AG	2016	PR-REG CH0	01_016_12900	hmo8036	Santémed Gesundheitszentrum	Seebahnstrasse 89	8036	Zürich-Wiedikon
0008	AG	2016	PR-REG CH0	01_016_12900	hmo8050B	Santémed Gesundheitszentrum	Baumackerstrasse 46	8050	Zürich-Oerlikon
0008	AI	2016	PR-REG CH0	01_016_02400	hmo9000	Sanacare Gruppenpraxis	Rosenbergstrasse 16	9000	St. Gallen
0008	AI	2016	PR-REG CH0	01_016_12900	hmo9001	Santémed Gesundheitszentrum	Vadianstrasse 26	9001	St. Gallen
0008	AI	2016	PR-REG CH0	01_016_12900	hmo9053S	santémed Gesundheitszentrum	Speicherstrasse 8	9053	Teufen
0008	AI	2016	PR-REG CH0	01_016_12900	hmo9400	Santémed Gesundheitszentrum	Kirchstrasse 26	9400	Rorschach
0008	AI	2016	PR-REG CH0	01_016_12900	hmo9435	Santémed Gesundheitszentrum	Aechelistrasse 6	9435	Heerbrugg
0008	AI	2016	PR-REG CH0	01_016_12900	hmo9444	Santémed Gesundheitszentrum	Vordere Kirchstrasse 8	9444	Diepoldsau
0008	AI	2016	PR-REG CH0	01_016_12900	hmo9630B	Santémed Gesundheitszentrum	Bahnhofstrasse 4	9630	Wattwil
0008	AR	2016	PR-REG CH0	01_016_02400	hmo9000	Sanacare Gruppenpraxis	Rosenbergstrasse 16	9000	St. Gallen
0008	AR	2016	PR-REG CH0	01_016_12900	hmo9001	Santémed Gesundheitszentrum	Vadianstrasse 26	9001	St. Gallen
0008	AR	2016	PR-REG CH0	01_016_12900	hmo9053S	santémed Gesundheitszentrum	Speicherstrasse 8	9053	Teufen
0008	AR	2016	PR-REG CH0	01_016_12900	hmo9220	santémed Gesundheitszentrum	Sandbänkli 1	9220	Bischofszell
0008	AR	2016	PR-REG CH0	01_016_12900	hmo9240	Santémed Gesundheitszentrum	Bahnhofstrasse 82	9240	Uzwil
