ID - KNIP	ID - BAG	Company	belongs to		Checked - Column not relevant	Can be purchased	contract	Can be used for comparison	Adr.	Policy Conditions	Image	descripion_de	description_en	reviews	Gesammt Rating	Tage bis Rückerstattung	Kundenrating	Service Qualität	Knip Kollaboration	positive	negative	email
55	294	Agilia Krankenkasse AG	Ein Angebot der KPT CPT	KPT CPT	yes	nein	Nein	Nein	KPT Krankenkasse AG\n Tellstrasse 18\n Postfach 8624\n 3001 Bern\n Tel. 058 310 91 11\n Fax 058 310 86 35\n kpt@kpt.ch		kpt_cpt.png	Die KPT CPT Holding AG ist eine große Versicherung mit Hauptsitz in Bern. Bei ihr sind rund 450 Mitarbeiter beschäftigt, die circa 430.000 Versicherte betreuen. Gerade der Online-Markt wird von der Holding AG angesprochen und sie ist über ihre Internetseite 24 Stunden für ihre Kunden erreichbar. Vor allem die Buchstaben KPT stehen für eine besondere Bedeutung. K für Kompetenz, P für persönlich und T für Transparenz. Diesen Grundsatz leben die Mitarbeiter auch täglich bei ihrer Arbeit.		N/A	8	8	7	9	8	Sehr freundlich\n Guter Service	Schwer erreichbar	kpt@kpt.ch
56	1560	Agrisano Krankenkasse AG	-		yes	Yes	Nein	yes	Agrisano Krankenkasse AG\n Laurstrasse 10\n  5201 Brugg AG\n  Tel. 056 461 71 11\n  Fax 056 461 71 07\n  info@agrisano.ch \n  www.agrisano.ch		agrisano.png	Gegenwärtig verfügt die Agrisano Versicherung über 140 Mitarbeiterinnen und Mitarbeiter, die sowohl in der Unternehmenszentrale in Brugg als auch in den zahlreichen Außenstellen in der gesamten Schweiz beschäftigt sind. Durch die enge Zusammenarbeit mit den übrigen Bauernverbänden des Landes weißt das Unternehmen eine exponierte Stellung unter den Nischenversicherern der Alpenrepublik auf. Darüber hinaus konzentriert sich das Versicherungsunternehmen vollends auf die versicherungstechnischen Bedürfnisse der von der Landwirtschaft lebenden Bevölkerung im Rahmen der gesetzlichen Grund- und Krankenversicherung. Weiterhin wartet das Unternehmen mit zahlreichen spezialisierten Produkten, wie der bäuerlichen Zusatzversicherung oder der Tagesgeldversicherung auf.		N/A	8	8	7	9	8	Sehr freundlich\n Guter Service	Schwer erreichbar	info@agrisano.ch
48	32	Aquilana Versicherungen	-		yes	Yes	Nein	yes	Aquilana Versicherungen\n Bruggerstrasse 46\n  5401 Baden\n  Tel. 056 203 44 44\n  Fax 056 203 44 99\n  info@aquilana.ch\n  www.aquilana.ch		aquilana_baden.png	Der Sitz dieses Unternehmens liegt in Baden, gelegen im Kanton Aargau. Die größten Einnahmen resultieren für das Unternehmen aus der Obligatorischen Krankenpflegeversicherung (OKP). Der Verein hat sich im Besonderen die Zufriedenheit seiner Kunden auf die Fahne geschrieben. Er ist im gesamten Schweizer Raum tätig und beschäftigt insgesamt 38 Mitarbeiter.		N/A	8	8	7	9	8	Sehr freundlich\n Guter Service	Schwer erreichbar	info@aquilana.ch
47	1569	Arcosana AG	Ein Angebot der CSS	CSS Versicherung AG	yes	yes	Nein	yes	CSS Versicherung AG\n Tribschenstrasse 21\n  Postfach 2568\n  6002 Luzern\n  Tel. 058 277 11 11\n  Fax 058 277 12 12\n  css.info@css.ch\n  www.css.ch		css_Versicherungen_ag	Die Acrosana AG ist eine 100-prozentige Tochtergesellschaft der CSS Gruppe, eines auf Krankenversicherungen spezialisierten Schweizer Versicherungskonzerns. \n Unter deren Dach befinden sich zudem auch die Versicherer Arcosana, Intras und Sanagate. Ende 2014 hatten rund 1,28 Millionen Personen eine Grundversicherung bei der CSS abgeschlossen. Insgesamt sind etwa 1,7 Millionen Kunden bei der CSS versichert. Die Prämieneinnahmen steigen um 2,5 Prozent auf 5.379 Mrd. Franken. Damit zählt CSS zu den führenden Schweizer Kranken-, Unfall- und Sachversicherern. Der in Luzern ansässige Versicherer wurde 1899 gegründet.		N/A	7,5	7	7	8	8	Sehr freundlich\n Guter Service	Schwer erreichbar	css.info@css.ch
23	1542	Assura-Basis SA	-		Yes	Yes	Nein	yes	Avenue C.-F. Ramuz 70\n  1009 Pully\n  Tel. 021 721 44 11\n  Fax 021 721 46 99\n  assura@assura.ch \n  www.assura.ch		assura.png	Die Assura ist in der Rechtsform einer Stiftung organisiert. Mit über 700'000 Versicherten ist sie die zweitgrößte Krankenkasse der Schweiz. Sie beschäftigt in der Zentrale in Pully und ihren mittlerweile 13 Niederlassungen über 200 Mitarbeiter. Im Jahr 2010 erzielte das Unternehmen im Bereich der Grundversicherung einen Umsatz von 1,5 Mrd.CHF.\n Eines der Unternehmensziele ist es von Anfang an, die Versicherungsprämien so niedrig wie möglich zu halten. Dementsprechend waren die Prämien der Assura in den letzten über 35 Jahren im Durchschnitt am günstigsten.\n Seit 2011 ist das Unternehmen auch in sozialen Netzwerken aktiv. Unter anderem verfügt es über Profile auf Facebook, Twitter und YouTube.		N/A	8	8	7	9	8	Sehr freundlich\n Guter Service	Schwer erreichbar	assura@assura.ch
6	312	Atupri	-		Yes	Yes	Yes	yes	Zieglerstrasse 29\n  3000 Bern 65\n  Tel. 031 555 09 11\n  Fax 031 555 09 12\n  info@atupri.ch \n  www.atupri.ch		atupri.png	Die Atupri Krankenkasse hat ihren Sitz in Bern, wo sie zugleich auch ein Service Center betreibt. Daneben existieren noch Service Center in Lausanne, Lugano und Luzern. In Fribourg und in Zürich sind zwei Leistungscenter der Stiftung zu finden. So ist das Unternehmen auf dem gesamten Schweizer Markt präsent. Gegenwärtig sind mehr als 200 Mitarbeiter bei der Atupri beschäftigt. Das Angebot an Serviceleistungen umfasst hauptsächlich die obligatorische Krankenpflegeversicherung (OKP). Daneben können auch noch Kollektiv- und Zusatzversicherungen abgeschlossen werden. 2012 konnte das Unternehmen ein Geschäftsergebnis von 3,9 Millionen Schweizer Franken erzielen. Mit ungefähr 185.000 Versicherten ist sie in der Liste der 15 größten Schweizer Krankenversicherer zu finden.		N/A	8	8	7	9	8	Sehr freundlich\n Guter Service	Schwer erreichbar	info@atupri.ch
43	1565	Avanex	Ein Angebot der Helsana Gruppe	Helsana Gruppe	Yes	yes	Nein	yes	Helsana-Gruppe\n  Helsana Versicherungen AG\n  Postfach\n  8081 Zürich\n  Tel. 043 340 11 11\n  Fax 043 340 01 11\n  www.helsana.ch		helsana.png	Die Helsana AG mit Sitz in Dübendorf ist ein auf die Krankenversicherung spezialisierter Schweizer Versicherungskonzern. Mit 1,9 Millionen Versicherten und Prämieneinnahmen von 6 Milliarden Schweizer Franken ist die Helsana-Gruppe der führende Kranken- und Unfallversicherer der Schweiz. Die Unternehmensgruppe beschäftigt rund 3000 Mitarbeitende und umfasst fünf operativ tätige Tochtergesellschaften, die auf den Gebieten der Grundversicherung, der Zusatzversicherungen und der Unfallversicherungen tätig sind. Diese treten unter den Namen Helsana, Progrès, Sansan und Avanex als eigenständige Marken am Markt auf. Das Kerngeschäft der Helsana-Gruppe bildet die Grundversicherung nach dem Krankenversicherungsgesetz und generiert damit rund 70 Prozent der gesamten Prämieneinnahmen. Die Sparte Zusatzversicherungen bildet mit 27 Prozent der Prämieneinnahmen das zweite Standbein. Daneben bietet die Gruppe Unternehmen und Verbänden Kollektivtaggeld- und Unfallversicherungen sowie Lösungen in der beruflichen Vorsorge an.		N/A	8	8	7	9	8	Sehr freundlich\n Guter Service	Schwer erreichbar
53	343	Avenir	Ein Angebot der Groupe Mutuel	Groupe Mutuel	Yes	Yes	Nein	yes	Groupe Mutuel\n  Avenir Assurance Maladie\n  Rue des Cèdres 5\n  1920 Martigny\n  Tel. 0848 803 111\n  Fax 0848 803 112\n  info@groupemutuel.ch\n  www.groupemutuel.ch		groupe_mutuel.png	Rund 1,2 Millionen (1'190'000) Einzelversicherte sind den Mitgliedskrankenversicherern der Groupe Mutuel für die obligatorische Krankenpflegeversicherung (OKP) angeschlossen. Zählt man die Versicherten mit nur einer privaten Zusatzversicherung dazu, beträgt die Versichertenzahl 1,4 Millionen. Rund 17'000 Unternehmen aus allen Tätigkeitsbereichen vertrauen bei ihren Taggeldversicherungen, Unfallversicherungen und der beruflichen Vorsorge voll und ganz den Versicherern der Groupe Mutuel. Der Umsatz aller Mitgliedsgesellschaften übersteigt 4,6 Milliarden Franken, rund 3,7 Milliarden stammen aus dem Bereich Krankenversicherung. Die Krankenversicherer der Groupe Mutuel bieten umfassende Lösungspakete in der obligatorischen Krankenpflegeversicherung und den Zusatzversicherungen an. Die Groupe Mutuel verwaltet ausserdem zwei Vorsorgestiftungen: die schweizweit tätige Groupe Mutuel Vorsorge und die Walliser Vorsorge, die auf die Unternehmen im Kanton Wallis ausgerichtet ist. Die Groupe Mutuel Leben GMV AG deckt den Bereich Lebensversicherungen ab. Mit ihren verschiedenen Versicherungsgesellschaften ist die Groupe Mutuel, Association d’assureurs, ein umfassendes Unternehmen, das Einzelpersonen sowie Unternehmen mit bedarfsgerechten Versicherungslösungen unterstützt.		N/A	8	8	7	9	8	Sehr freundlich\n Guter Service	Schwer erreichbar	info@groupemutuel.ch
60	1113	Caisse-maladie Vallée d’Entremont	-		Für Vorversicherungs Vergleich	Yes	Nein	yes	Place centrale \n  Case postale 13\n  1937 Orsières\n  Tel. 027 783 25 87\n  Fax 027 783 30 18\n  cmveo@cmveo.ch\n  www.cmveo.ch		caisse_maladie_vallee_entremont	Die Krankenkasse wird von einem fünfköpfigen Verwaltungsrat geleitet, dem Maurice Thétaz als Präsident vorsteht. Sie ist der CSS zugehörig, wenn es um das Produktportfolio geht, agiert aber als regionale Krankenkasse in Orsières und Umgebung. Sie positioniert sich als kundennaher und kompetenter Partner der Versicherten in der Region.\n Der Sitz der Caisse Maladie de la Vallée d'Entremont liegt in Orsières; sie hat aktuell 7'950 Versicherte (Stand: 2012). Ihr Angebot umfasst sowohl die verpflichtende Krankenversicherung als auch freiwillige Zusatzversicherungen. Die Caisse Maladie de la Vallée d'Entremont bietet verschiedene Rabattprogramme, zum Beispiel für Jugendliche, an.		N/A	8	8	7	9	8	Sehr freundlich\n Guter Service	Schwer erreichbar	cmveo@cmveo.ch
26	290	CONCORDIA Schweiz.\n Kranken- und Unfallversicherung AG	-		yes	Yes	Nein	yes	Bundesplatz 15\n  6002 Luzern\n  Tel. 041 228 01 11\n  Fax 041 228 02 10\n  info@concordia.ch \n  www.concordia.ch		concordia.png	Die Concordia Schweizerische Kranken- und Unfallversicherung AG mit Sitz in Luzern ist ein auf die Krankenversicherung und Unfallversicherung spezialisierter Schweizer Versicherungskonzern. Die Unternehmensgruppe zählt rund 774'000 Versicherte und erzielte 2015 mit 1'200 Mitarbeitenden einen Umsatz von 2.5 Milliarden Schweizer Franken.\n Der Versicherer ist mit vier Servicecentern und rund 240 Agenturen und Geschäftsstellen in der Schweiz vertreten. Zusätzlich verfügt die Concordia über eine Landesvertretung im Fürstentum Liechtenstein.\n Die Krankenversicherung mit Grund- und Zusatzversicherung sowie die Unfallversicherung bilden das Kerngeschäft der Concordia-Gruppe. Es wird geführt durch die beiden Aktiengesellschaften Concordia Schweizerische Kranken- und Unfallversicherung AG und Concordia Versicherungen AG:\n Die Concordia Schweizerische Kranken- und Unfallversicherung AG führt die Krankenversicherung nach schweizerischem und liechtensteinischem Krankenversicherungsgesetz (KVG) sowie die Unfallversicherung nach schweizerischem Unfallversicherungsgesetz (UVG) durch. Die Concordia Versicherungen AG bietet Kranken- und Unfallversicherungen sowie Lebensversicherungen nach schweizerischem Versicherungsvertragsgesetz (VVG) an.\n Der Konzern verfügt über eine Holdingstruktur. Zur Holding der Concordia -Gruppe gehören neben den beiden operativ tätigen Versicherungs-Gesellschaften auch drei Stiftungen und mehrere Unternehmen, an denen die Concordia beteiligt ist. Darunter fallen Gesellschaften im Bereich der Unfallversicherung, der medizinischen Versorgung sowie ein Hotel. Das oberste Dach der Gruppe bildet der Verein Concordia Schweizerische Kranken- und Unfallversicherung.		N/A	8	8	7	9	8	Sehr freundlich\n Guter Service	Schwer erreichbar	info@concordia.ch
2	8	CSS Krankenversicherung AG	-	-	yes	Yes	Nein	yes	Tribschenstrasse 21\n  Postfach 2568\n  6002 Luzern\n  Tel. 058 277 11 11\n  Fax 058 277 12 12\n  css.info@css.ch\n  www.css.ch		css_versicherung_ag	Die CSS Krankenkasse gehört zur CSS Holding AG. Unter deren Dach befinden sich zudem auch die Versicherer Arcosana, Intras und Sanagate. Ende 2014 hatten rund 1,28 Millionen Personen eine Grundversicherung bei der CSS abgeschlossen. Insgesamt sind etwa 1,7 Millionen Kunden bei der CSS versichert. Die Prämieneinnahmen steigen um 2,5 Prozent auf 5.379 Mrd. Franken. Damit zählt CSS zu den führenden Schweizer Kranken-, Unfall- und Sachversicherern. Der in Luzern ansässige Versicherer wurde 1899 gegründet. Betreut werden die Kunden von etwa 2.650 Mitarbeitern am Hauptsitz sowie in den verschiedenen Büros vor Ort.		N/A	8	8	7	9	8	Sehr freundlich\n Guter Service	Schwer erreichbar	css.info@css.ch
96	774	Easy Sana	Ein Angebot der Groupe Mutuel	Groupe Mutuel	Yes	Yes	Nein	yes	Groupe Mutuel\n  Krankenversicherung Easy Sana\n  Rue des Cèdres 5\n  1920 Martigny\n  Tel. 0848 803 111\n  Fax 0848 803 112\n  info@groupemutuel.ch\n  www.groupemutuel.ch		groupe_mutuel.png	Rund 1,2 Millionen (1'190'000) Einzelversicherte sind den Mitgliedskrankenversicherern der Groupe Mutuel für die obligatorische Krankenpflegeversicherung (OKP) angeschlossen. Zählt man die Versicherten mit nur einer privaten Zusatzversicherung dazu, beträgt die Versichertenzahl 1,4 Millionen. Rund 17'000 Unternehmen aus allen Tätigkeitsbereichen vertrauen bei ihren Taggeldversicherungen, Unfallversicherungen und der beruflichen Vorsorge voll und ganz den Versicherern der Groupe Mutuel. Der Umsatz aller Mitgliedsgesellschaften übersteigt 4,6 Milliarden Franken, rund 3,7 Milliarden stammen aus dem Bereich Krankenversicherung. Die Krankenversicherer der Groupe Mutuel bieten umfassende Lösungspakete in der obligatorischen Krankenpflegeversicherung und den Zusatzversicherungen an. Die Groupe Mutuel verwaltet ausserdem zwei Vorsorgestiftungen: die schweizweit tätige Groupe Mutuel Vorsorge und die Walliser Vorsorge, die auf die Unternehmen im Kanton Wallis ausgerichtet ist. Die Groupe Mutuel Leben GMV AG deckt den Bereich Lebensversicherungen ab. Mit ihren verschiedenen Versicherungsgesellschaften ist die Groupe Mutuel, Association d’assureurs, ein umfassendes Unternehmen, das Einzelpersonen sowie Unternehmen mit bedarfsgerechten Versicherungslösungen unterstützt.		N/A	8	8	7	9	8	Sehr freundlich\n Guter Service	Schwer erreichbar	info@groupemutuel.ch
40	881	EGK Grundversicherungen	-	-	yes	Yes	Nein	yes	Brislachstrasse 2\n  Postfach\n  4242 Laufen\n  Tel. 061 765 51 11\n  Fax 061 765 51 12\n  info@egk.ch \n  www.egk.ch		egk.png	Die EGK-Gesundheitskasse beschäftigt aktuell 229 Mitarbeiter (Stand: März 2013) und hat ihren Sitz in Laufen im Kanton Basel-Landschaft. Der Geschäftsleiter des Unternehmens ist Dr. Reto Flury, der Präsident des Stiftungsrats ist seit dem Jahr 2004 Alex Kummer.\n Im Jahr 2013 konnte die EGK-Gesundheitskasse einen Jahresumsatz von 498 Mio. CHF erzielen.\n Die Versicherten der EGK-Gesundheitskasse können über die gesetzliche Pflichtkrankenversicherung hinaus private Zusatzversicherungen abschließen. So gibt es die Möglichkeit, mehr zu bezahlen und dafür freie Arztwahl in der Schweiz bei ambulanten Behandlungen zu erhalten. Auch für Auslandsaufenthalte bietet die EGK unterschiedliche Zusatzversicherungen an. Auch wer Wert darauf legt, naturmedizinische Behandlungen von der Krankenkasse bezahlt zu bekommen, kann hierfür eine spezielle Zusatzversicherung abschließen.\n Dennoch bleibt die Grundversicherung nach dem Krankenversicherungsgesetz das Hauptgeschäft des Unternehmens: Es nimmt einen Anteil von 78% der gesamten Prämieneinnahmen in Anspruch.		N/A	8	8	7	9	8	Sehr freundlich\n Guter Service	Schwer erreichbar	info@egk.ch
62	1386	GALENOS Kranken- und Unfallversicherung	-	-	Yes	Yes	Yes	yes	Militärstrasse 36\n  Postfach\n  8021 Zürich\n  Tel. 044 245 88 88 \n  Fax 044 245 88 99\n  info@galenos.ch \n  www.galenos.ch		galenos.png	Die Galenos Versicherung hat ihren Sitz in Zürich und ist in der ganzen Schweiz über ihre Internetseite telefonisch sowie per E-Mail erreichbar. Da es sich um eine sehr kleine und überschaubare Versicherung handelt, was von der Führung vor allem auch so gewollt ist, sind auch die Verwaltungskosten gering. Dies zeigt sich auch bei den Kosten für die angebotenen Versicherungen. Zudem hat es sich die Krankenversicherung zur Aufgabe gemacht, ihre Kunden bestmöglich und kundennah zu betreuen. Daher hat sie sich auf die Kranken- und die Unfallversicherung spezialisiert und in diesem Bereich werden viele verschiedene Versicherungsarten anboten. Neben der Krankengrundversicherung kann der Versicherte zwischen vielen Zusatzversicherungen, zum Beispiel für Zahnersatz, Unfall oder einer Reiseversicherung wählen.		N/A	8	8	7	9	8	Sehr freundlich\n Guter Service	Schwer erreichbar	info@galenos.ch
63	780	Glarner Krankenversicherung	-	-	yes	Yes	Nein	yes	Glarner Kranekversicherung \n Sernftalstrasse 33\n 8762 Schwanden \n  Tel. 055 642 25 25\n  Fax 055 642 25 45\n  info@glkv.ch \n  www.glkv.ch		glarner_krankenversicherung.png	Heute hat die Glarner Krankenversicherung zwei Standorte in Elm, dem Hauptsitz und in Luchsingen mit einer Nebenstelle. Da die Versicherung sich noch immer im Wachstum befindet, werden auch immer wieder Stellen und Ausbildungsplätze angeboten. Im Gebiet Glarus hat die Glarner Krankenversicherung zudem einen Marktanteil von 17,9 %, ist aber auch in den Gebieten Graubünden, Uri, St. Gallen und Schwyz tätig. Die Glarner Versicherung hatte laut Geschäftsbericht im Jahr 2012 einen Zuwachs von 251 Mitgliedern und wies im gleichen Jahr einen Gewinn von CHF 781.180,29 auf.\n Zwei Standorte mit insgesamt sechs Mitarbeitern betreuen die Krankenversicherten kundennah und persönlich. Da es sich um eine kleine Versicherungsgesellschaft handelt, sind alle Kunden natürlich den Mitarbeitern auch bekannt. Neben der Grundversicherung bietet die Glarner Krankenversicherung auch einige interessante Zusatzversicherungen an. So kann der Versicherte sich zum Beispiel für Zusatzversicherungen für die Kosten von Brillen, Zahnersatzkosten oder auch Naturheilverfahren entscheiden. Diese Kosten werden von vielen Krankenkassen gar nicht erst berücksichtigt oder übernommen. Aber die Glarner Krankenversicherung ist nicht nur eine reine Krankenkasse, die die Kosten einer Behandlung übernimmt. Der Kunde kann sich hier auch für eine eventuelle Invalidität bedingt durch einen Unfall oder eine Krankheit versichern lassen, Unternehmen oder Einzelpersonen können eine Erwerbsausfall-Versicherung abschließen und bei Bedarf in Anspruch nehmen.		N/A	8	8	7	9	8	Sehr freundlich\n Guter Service	Schwer erreichbar	info@glkv.ch
