ID - KNIP	ID - BAG	Company	Abreviation	belongs to	Motherhouse	Can be purchased	contract	Can be used for comparison	Adr.	Policy Conditions	Image	descripion_de	description_en	Reviews	Gesammt Note	Tage bis Rückerstattung	Geschwindigkeit Rückerstattung	Kundenzufriedenheit	Knip Kollaboration	positive 	negative	E-mail for insurance application
56	1560	Agrisano Krankenkasse AG	Agrisano	-		Yes	Nein	yes	Agrisano Krankenkasse AG\nLaurstrasse 10\n 5201 Brugg AG\n Tel. 056 461 71 11\n Fax 056 461 71 07\n info@agrisano.ch \n www.agrisano.ch		agrisano.png	Gegenwärtig verfügt die Agrisano Versicherung über 140 Mitarbeiterinnen und Mitarbeiter, die sowohl in der Unternehmenszentrale in Brugg als auch in den zahlreichen Außenstellen in der gesamten Schweiz beschäftigt sind. Durch die enge Zusammenarbeit mit den übrigen Bauernverbänden des Landes weißt das Unternehmen eine exponierte Stellung unter den Nischenversicherern der Alpenrepublik auf. Darüber hinaus konzentriert sich das Versicherungsunternehmen vollends auf die versicherungstechnischen Bedürfnisse der von der Landwirtschaft lebenden Bevölkerung im Rahmen der gesetzlichen Grund- und Krankenversicherung. Weiterhin wartet das Unternehmen mit zahlreichen spezialisierten Produkten, wie der bäuerlichen Zusatzversicherung oder der Tagesgeldversicherung auf.			n.v.	3	6	n.v.	n.v.	n.v.		info@agrisano.ch 
48	32	Aquilana Versicherungen	Aquilana	-		Yes 	Nein	yes	Aquilana Versicherungen\nBruggerstrasse 46\n 5401 Baden\n Tel. 056 203 44 44\n Fax 056 203 44 99\n info@aquilana.ch\n www.aquilana.ch		aquilana_baden.png	Der Sitz dieses Unternehmens liegt in Baden, gelegen im Kanton Aargau. Die größten Einnahmen resultieren für das Unternehmen aus der Obligatorischen Krankenpflegeversicherung (OKP). Der Verein hat sich im Besonderen die Zufriedenheit seiner Kunden auf die Fahne geschrieben. Er ist im gesamten Schweizer Raum tätig und beschäftigt insgesamt 38 Mitarbeiter.			n.v.	4	6	n.v.	n.v.	n.v.		info@aquilana.ch
47	1569	Arcosana AG	Arcosana	Ein Angebot der CSS	CSS Versicherung AG	yes	Nein	yes	Tribschenstrasse 21\n6002 Luzern\nTel. 058 277 11 11\nFax 058 277 12 12\ninfo.mail@arcosana.ch\nwww.arcosana.ch		css_Versicherungen_ag	Die Acrosana AG ist eine 100-prozentige Tochtergesellschaft der CSS Gruppe, eines auf Krankenversicherungen spezialisierten Schweizer Versicherungskonzerns. \nUnter deren Dach befinden sich zudem auch die Versicherer Arcosana, Intras und Sanagate. Ende 2014 hatten rund 1,28 Millionen Personen eine Grundversicherung bei der CSS abgeschlossen. Insgesamt sind etwa 1,7 Millionen Kunden bei der CSS versichert. Die Prämieneinnahmen steigen um 2,5 Prozent auf 5.379 Mrd. Franken. Damit zählt CSS zu den führenden Schweizer Kranken-, Unfall- und Sachversicherern. Der in Luzern ansässige Versicherer wurde 1899 gegründet. \n			4.8	8	5	5.3	4	Kurze Rückerstattungszeit\nHohe Kundenzufriedenheit		info.mail@arcosana.ch
6	312	Atupri	Atupri	-		Yes	Yes	yes	Zieglerstrasse 29\n 3000 Bern 65\n Tel. 031 555 09 11\n Fax 031 555 09 12\n info@atupri.ch \n www.atupri.ch		atupri.png	Die Atupri Krankenkasse hat ihren Sitz in Bern, wo sie zugleich auch ein Service Center betreibt. Daneben existieren noch Service Center in Lausanne, Lugano und Luzern. In Fribourg und in Zürich sind zwei Leistungscenter der Stiftung zu finden. So ist das Unternehmen auf dem gesamten Schweizer Markt präsent. Gegenwärtig sind mehr als 200 Mitarbeiter bei der Atupri beschäftigt. Das Angebot an Serviceleistungen umfasst hauptsächlich die obligatorische Krankenpflegeversicherung (OKP). Daneben können auch noch Kollektiv- und Zusatzversicherungen abgeschlossen werden. 2012 konnte das Unternehmen ein Geschäftsergebnis von 3,9 Millionen Schweizer Franken erzielen. Mit ungefähr 185.000 Versicherten ist sie in der Liste der 15 größten Schweizer Krankenversicherer zu finden. 			5.6	3	6	5.2	5.5	Sehr kurze Rückerstattungszeit\nHohe Kundenzufriedenheit		info@atupri.ch 
62	1386	GALENOS Kranken- und Unfallversicherung\n 	Galenos	-	-	Yes	Yes	yes	Militärstrasse 36\n Postfach\n 8021 Zürich\n Tel. 044 245 88 88 \n Fax 044 245 88 99\n info@galenos.ch \n www.galenos.ch		galenos.png	Die Galenos Versicherung hat ihren Sitz in Zürich und ist in der ganzen Schweiz über ihre Internetseite telefonisch sowie per E-Mail erreichbar. Da es sich um eine sehr kleine und überschaubare Versicherung handelt, was von der Führung vor allem auch so gewollt ist, sind auch die Verwaltungskosten gering. Dies zeigt sich auch bei den Kosten für die angebotenen Versicherungen. Zudem hat es sich die Krankenversicherung zur Aufgabe gemacht, ihre Kunden bestmöglich und kundennah zu betreuen. Daher hat sie sich auf die Kranken- und die Unfallversicherung spezialisiert und in diesem Bereich werden viele verschiedene Versicherungsarten anboten. Neben der Krankengrundversicherung kann der Versicherte zwischen vielen Zusatzversicherungen, zum Beispiel für Zahnersatz, Unfall oder einer Reiseversicherung wählen.			5.0	12	4.5	5.0	5.5	Hohe Kundenzufriedenheit		info@galenos.ch 
53	343	Avenir	Avenir	Ein Angebot der Groupe Mutuel	Groupe Mutuel	Yes	Nein	yes	Groupe Mutuel\n Avenir Assurance Maladie\n Rue des Cèdres 5\n 1920 Martigny\n Tel. 0848 803 111\n Fax 0848 803 112\n info@groupemutuel.ch\n www.groupemutuel.ch		groupe_mutuel.png	Rund 1,2 Millionen (1'190'000) Einzelversicherte sind den Mitgliedskrankenversicherern der Groupe Mutuel für die obligatorische Krankenpflegeversicherung (OKP) angeschlossen. Zählt man die Versicherten mit nur einer privaten Zusatzversicherung dazu, beträgt die Versichertenzahl 1,4 Millionen. Rund 17'000 Unternehmen aus allen Tätigkeitsbereichen vertrauen bei ihren Taggeldversicherungen, Unfallversicherungen und der beruflichen Vorsorge voll und ganz den Versicherern der Groupe Mutuel. Der Umsatz aller Mitgliedsgesellschaften übersteigt 4,6 Milliarden Franken, rund 3,7 Milliarden stammen aus dem Bereich Krankenversicherung. Die Krankenversicherer der Groupe Mutuel bieten umfassende Lösungspakete in der obligatorischen Krankenpflegeversicherung und den Zusatzversicherungen an. Die Groupe Mutuel verwaltet ausserdem zwei Vorsorgestiftungen: die schweizweit tätige Groupe Mutuel Vorsorge und die Walliser Vorsorge, die auf die Unternehmen im Kanton Wallis ausgerichtet ist. Die Groupe Mutuel Leben GMV AG deckt den Bereich Lebensversicherungen ab. Mit ihren verschiedenen Versicherungsgesellschaften ist die Groupe Mutuel, Association d’assureurs, ein umfassendes Unternehmen, das Einzelpersonen sowie Unternehmen mit bedarfsgerechten Versicherungslösungen unterstützt.			4.5	11	4.5	5.0	4		Solvenzquote nicht ausreichend (BAG)	info@groupemutuel.ch
60	1113	Caisse-maladie Vallée d’Entremont	CMVE	-		Yes	Nein	yes	Place centrale \n Case postale 13\n 1937 Orsières\n Tel. 027 783 25 87\n Fax 027 783 30 18\n cmveo@cmveo.ch\n www.cmveo.ch		caisse_maladie_vallee_entremont	Die Krankenkasse wird von einem fünfköpfigen Verwaltungsrat geleitet, dem Maurice Thétaz als Präsident vorsteht. Sie ist der CSS zugehörig, wenn es um das Produktportfolio geht, agiert aber als regionale Krankenkasse in Orsières und Umgebung. Sie positioniert sich als kundennaher und kompetenter Partner der Versicherten in der Region.\nDer Sitz der Caisse Maladie de la Vallée d'Entremont liegt in Orsières; sie hat aktuell 7'950 Versicherte (Stand: 2012). Ihr Angebot umfasst sowohl die verpflichtende Krankenversicherung als auch freiwillige Zusatzversicherungen. Die Caisse Maladie de la Vallée d'Entremont bietet verschiedene Rabattprogramme, zum Beispiel für Jugendliche, an.			n.v.	8	5.5	n.v.	n.v.	n.v.		cmveo@cmveo.ch
3304	820	Cassa da malsauns LUMNEZIANA	Lumeziana			Yes	Nein	yes	Postfach 41\n 7144 Vella\n Tel. 081 931 35 35\n Fax 081 936 81 66\n info@lumneziana.ch		no image	-			n.v.	17	4	n.v.	n.v.	n.v.		info@lumneziana.ch
3311	1575	Compact Grundversicherungen AG	Compact	Ein Angebot der Sanitas	Sanitas	yes	Yes	yes	Jägergasse 3\n Postfach 2010\n 8021 Zürich\n Tel. 044 298 63 00\n Fax 044 298 62 50\n info@sanitas.com\n www.sanitas.com		sanitas.png	Die Sanitas Krankenversicherung mit Sitz in Zürich ist ein auf die Krankenversicherungspezialisierter Schweizer Versicherungskonzern. Die Unternehmensgruppe zählte Anfang 2014 rund 824'000 Versicherte und erzielte 2013 mit knapp 700 Mitarbeitern Prämieneinnahmen von 2,484 Milliarden Schweizer Franken. Damit finanzierte Sanitas Versicherungsleistungen in Höhe von 2,338 Milliarden Schweizer Franken.\nDie Gruppe verfügt über eine Holdingstruktur und umfasst fünf operativ tätige Tochtergesellschaften, die auf den Gebieten der Grundversicherung (Sanitas, Wincare und Compact) und der Zusatzversicherungen (Sanitas und Wincare) tätig sind. Die in der Rechtsform einer Stiftung organisierte Sanitas Krankenversicherung bildet die Dachgesellschaft.\nDas Kerngeschäft der Sanitas Gruppe ist die Grundversicherung nach demKrankenversicherungsgesetz, die rund 71 Prozent der gesamten Prämieneinnahmen ausmacht. Die Sparte mit den Zusatzversicherungen ist das zweite Standbein.\n\n			n.v.	7	5	n.v.	n.v.	n.v.		info@sanitas.com
26	290	CONCORDIA	Concordia	-		Yes	Nein	yes	Bundesplatz 15\n 6002 Luzern\n Tel. 041 228 01 11\n Fax 041 228 02 10\n info@concordia.ch \n www.concordia.ch		concordia.png	Die Concordia Schweizerische Kranken- und Unfallversicherung AG mit Sitz in Luzern ist ein auf die Krankenversicherung und Unfallversicherung spezialisierter Schweizer Versicherungskonzern. Die Unternehmensgruppe zählt rund 774'000 Versicherte und erzielte 2015 mit 1'200 Mitarbeitenden einen Umsatz von 2.5 Milliarden Schweizer Franken.\n\nDer Versicherer ist mit vier Servicecentern und rund 240 Agenturen und Geschäftsstellen in der Schweiz vertreten. Zusätzlich verfügt die Concordia über eine Landesvertretung im Fürstentum Liechtenstein.\n\nDie Krankenversicherung mit Grund- und Zusatzversicherung sowie die Unfallversicherung bilden das Kerngeschäft der Concordia-Gruppe. Es wird geführt durch die beiden Aktiengesellschaften Concordia Schweizerische Kranken- und Unfallversicherung AG und Concordia Versicherungen AG:\n\nDie Concordia Schweizerische Kranken- und Unfallversicherung AG führt die Krankenversicherung nach schweizerischem und liechtensteinischem Krankenversicherungsgesetz (KVG) sowie die Unfallversicherung nach schweizerischem Unfallversicherungsgesetz (UVG) durch. Die Concordia Versicherungen AG bietet Kranken- und Unfallversicherungen sowie Lebensversicherungen nach schweizerischem Versicherungsvertragsgesetz (VVG) an.\n\nDer Konzern verfügt über eine Holdingstruktur. Zur Holding der Concordia -Gruppe gehören neben den beiden operativ tätigen Versicherungs-Gesellschaften auch drei Stiftungen und mehrere Unternehmen, an denen die Concordia beteiligt ist. Darunter fallen Gesellschaften im Bereich der Unfallversicherung, der medizinischen Versorgung sowie ein Hotel. Das oberste Dach der Gruppe bildet der Verein Concordia Schweizerische Kranken- und Unfallversicherung.\n\n\n\n			5.0	4	6	5.0	4	Sehr kurze Rückerstattungszeit\nHohe Kundenzufriedenheit		info@concordia.ch 
