_id,company,belongs_to,purchase,contract,comparison,address,conditions,image,descripion_de,description_en,reviews,gesat_rating,auskunftsqualitat,erreichbarkeit,dauer_der_ruckerstattungen,freundlichkeit,abwicklung_von_anfragen,positive ,negative
294,Agilia Krankenkasse AG,Ein Angebot der KPT CPT,0,0,0,ühlering 5\n Postfach 246\n 6102 alters\n Tel. 041 499 70 77\n Fax 041 497 11 47\n info@agilia.ch\n www.agilia.ch,,,Die KPT CPT Holding AG ist eine große Versicherung it Hauptsitz in Bern. Bei ihr sind rund 450 itarbeiter beschäftigt~~~ die circa 430.000 Versicherte betreuen. Gerade der Online-arkt wird von der Holding AG angesprochen und sie ist über ihre Internetseite 24 Stunden für ihre Kunden erreichbar. Vor alle die Buchstaben KPT stehen für eine besondere Bedeutung. K für Kopetenz~~~ P für persönlich und T für Transparenz. Diesen Grundsatz leben die itarbeiter auch täglich bei ihrer Arbeit. ,,N/A,8.2,8,7,9,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
1560,Agrisano Krankenkasse AG,,1,0,1,Laurstrasse 10\n 5201 Brugg AG\n Tel. 056 461 71 11\n Fax 056 461 71 07\n info@agrisano.ch \n www.agrisano.ch,,agrisano.png,Gegenwärtig verfügt die Agrisano Versicherung über 140 itarbeiterinnen und itarbeiter~~~ die sowohl in der Unternehenszentrale in Brugg als auch in den zahlreichen Außenstellen in der gesaten Schweiz beschäftigt sind. Durch die enge Zusaenarbeit it den übrigen Bauernverbänden des Landes weißt das Unternehen eine exponierte Stellung unter den Nischenversicherern der Alpenrepublik auf. Darüber hinaus konzentriert sich das Versicherungsunternehen vollends auf die versicherungstechnischen Bedürfnisse der von der Landwirtschaft lebenden Bevölkerung i Rahen der gesetzlichen Grund- und Krankenversicherung. Weiterhin wartet das Unternehen it zahlreichen spezialisierten Produkten~~~ wie der bäuerlichen Zusatzversicherung oder der Tagesgeldversicherung auf.,,N/A,8.2,8,7,9,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
32,Aquilana Versicherungen,,1,0,1,Bruggerstrasse 46\n 5401 Baden\n Tel. 056 203 44 44\n Fax 056 203 44 99\n info@aquilana.ch\n www.aquilana.ch,,aquilana_baden.png,Der Sitz dieses Unternehens liegt in Baden~~~ gelegen i Kanton Aargau. Die größten Einnahen resultieren für das Unternehen aus der Obligatorischen Krankenpflegeversicherung (OKP). Der Verein hat sich i Besonderen die Zufriedenheit seiner Kunden auf die Fahne geschrieben. Er ist i gesaten Schweizer Rau tätig und beschäftigt insgesat 38 itarbeiter.,,N/A,8.2,8,7,9,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
1569,Arcosana AG,Ein Angebot der CSS,1,0,1,Tribschenstrasse 21\n 6002 Luzern \n Tel. 058 277 11 11\n Fax 058 277 12 12\n info.ail@arcosana.ch\n www.arcosana.ch,,CSS_Versicherung_AG.png,Die Acrosana AG ist eine 100-prozentige Tochtergesellschaft der CSS Gruppe~~~ eines auf Krankenversicherungen spezialisierten Schweizer Versicherungskonzerns. \nUnter deren Dach befinden sich zude auch die Versicherer Arcosana~~~ Intras und Sanagate. Ende 2014 hatten rund 1~~~28 illionen Personen eine Grundversicherung bei der CSS abgeschlossen. Insgesat sind etwa 1~~~7 illionen Kunden bei der CSS versichert. Die Präieneinnahen steigen u 2~~~5 Prozent auf 5.379 rd. Franken. Dait zählt CSS zu den führenden Schweizer Kranken-~~~ Unfall- und Sachversicherern. Der in Luzern ansässige Versicherer wurde 1899 gegründet.,,N/A,7.8,7,7,8,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
1542,Assura-Basis SA,,1,0,1,Avenue C.-F. Rauz 70\n 1009 Pully\n Tel. 021 721 44 11\n Fax 021 721 46 99\n assura@assura.ch \n www.assura.ch,,assura.png,Die Assura ist in der Rechtsfor einer Stiftung organisiert. it über 700'000 Versicherten ist sie die zweitgrößte Krankenkasse der Schweiz. Sie beschäftigt in der Zentrale in Pully und ihren ittlerweile 13 Niederlassungen über 200 itarbeiter. I Jahr 2010 erzielte das Unternehen i Bereich der Grundversicherung einen Usatz von 1~~~5 rd.CHF.\nEines der Unternehensziele ist es von Anfang an~~~ die Versicherungspräien so niedrig wie öglich zu halten. Deentsprechend waren die Präien der Assura in den letzten über 35 Jahren i Durchschnitt a günstigsten.\nSeit 2011 ist das Unternehen auch in sozialen Netzwerken aktiv. Unter andere verfügt es über Profile auf Facebook~~~ Twitter und YouTube.,,N/A,8.2,8,7,9,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
312,Atupri Krankenkasse \nAtupri Caisse-aladie \nAtupri Cassa alati,,1,1,1,Zieglerstrasse 29\n 3000 Bern 65\n Tel. 031 555 09 11\n Fax 031 555 09 12\n info@atupri.ch \n www.atupri.ch,,atupri.png,Die Atupri Krankenkasse hat ihren Sitz in Bern~~~ wo sie zugleich auch ein Service Center betreibt. Daneben existieren noch Service Center in Lausanne~~~ Lugano und Luzern. In Fribourg und in Zürich sind zwei Leistungscenter der Stiftung zu finden. So ist das Unternehen auf de gesaten Schweizer arkt präsent. Gegenwärtig sind ehr als 200 itarbeiter bei der Atupri beschäftigt. Das Angebot an Serviceleistungen ufasst hauptsächlich die obligatorische Krankenpflegeversicherung (OKP). Daneben können auch noch Kollektiv- und Zusatzversicherungen abgeschlossen werden. 2012 konnte das Unternehen ein Geschäftsergebnis von 3~~~9 illionen Schweizer Franken erzielen. it ungefähr 185.000 Versicherten ist sie in der Liste der 15 größten Schweizer Krankenversicherer zu finden. ,,N/A,8.2,8,7,9,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
1565,avanex Versicherungen AG\n avenex Assurances SA\n avanex Assicurazioni SA,Ein Angebot der Helsana Gruppe,1,0,1,Helsana-Gruppe\n avanex Versicherungen AG\n Postfach\n 8081 Zürich\n Tel. 043 340 11 13\n Fax 043 340 01 11\n www.avanex.ch,,arcosa.png,Die Helsana AG it Sitz in Dübendorf ist ein auf die Krankenversicherung spezialisierter Schweizer Versicherungskonzern. it 1~~~9 illionen Versicherten und Präieneinnahen von 6 illiarden Schweizer Franken ist die Helsana-Gruppe der führende Kranken- und Unfallversicherer der Schweiz. Die Unternehensgruppe beschäftigt rund 3000 itarbeitende und ufasst fünf operativ tätige Tochtergesellschaften~~~ die auf den Gebieten der Grundversicherung~~~ der Zusatzversicherungen und der Unfallversicherungen tätig sind. Diese treten unter den Naen Helsana~~~ Progrès~~~ Sansan und Avanex als eigenständige arken a arkt auf. Das Kerngeschäft der Helsana-Gruppe bildet die Grundversicherung nach de Krankenversicherungsgesetz und generiert dait rund 70 Prozent der gesaten Präieneinnahen. Die Sparte Zusatzversicherungen bildet it 27 Prozent der Präieneinnahen das zweite Standbein. Daneben bietet die Gruppe Unternehen und Verbänden Kollektivtaggeld- und Unfallversicherungen sowie Lösungen in der beruflichen Vorsorge an.,,N/A,8.2,8,7,9,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
343,Avenir Assurance aladie SA\nAvenir Krankenversicherung AG\nAvenir Assicurazione alattia SA,Ein Angebot der Groupe utuel,1,0,1,Groupe utuel\n Avenir Assurance aladie\n Rue des Cèdres 5\n 1920 artigny\n Tel. 0848 803 111\n Fax 0848 803 112\n info@groupeutuel.ch\n www.groupeutuel.ch,,groupe_mutuel.png,Rund 1~~~2 illionen (1'190'000) Einzelversicherte sind den itgliedskrankenversicherern der Groupe utuel für die obligatorische Krankenpflegeversicherung (OKP) angeschlossen. Zählt an die Versicherten it nur einer privaten Zusatzversicherung dazu~~~ beträgt die Versichertenzahl 1~~~4 illionen. Rund 17'000 Unternehen aus allen Tätigkeitsbereichen vertrauen bei ihren Taggeldversicherungen~~~ Unfallversicherungen und der beruflichen Vorsorge voll und ganz den Versicherern der Groupe utuel. Der Usatz aller itgliedsgesellschaften übersteigt 4~~~6 illiarden Franken~~~ rund 3~~~7 illiarden staen aus de Bereich Krankenversicherung. Die Krankenversicherer der Groupe utuel bieten ufassende Lösungspakete in der obligatorischen Krankenpflegeversicherung und den Zusatzversicherungen an. Die Groupe utuel verwaltet ausserde zwei Vorsorgestiftungen: die schweizweit tätige Groupe utuel Vorsorge und die Walliser Vorsorge~~~ die auf die Unternehen i Kanton Wallis ausgerichtet ist. Die Groupe utuel Leben GV AG deckt den Bereich Lebensversicherungen ab. it ihren verschiedenen Versicherungsgesellschaften ist die Groupe utuel~~~ Association d’assureurs~~~ ein ufassendes Unternehen~~~ das Einzelpersonen sowie Unternehen it bedarfsgerechten Versicherungslösungen unterstützt.,,N/A,8.2,8,7,9,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
1179,Caisse-aladie du Personnel \ncounal de la Ville de Neuchâtel,Ein Angebot der Groupe utuel,0,0,0,Hôtel de Ville\n 2000 Neuchâtel\n Groupe utuel\n Caisse-aladie du Personnel counal de \n la Ville de Neuchâtel\n Rue du Nord 5\n 1920 artigny\n Tel. 0848 803 111\n Fax 0848 803 112\n info@groupeutuel.ch\n www.groupeutuel.ch,,,,,,7.6,7,7,8,8,8,Sehr freundlich\nGuter Service,Schwer erreichbar
1113,Caisse-aladie Vallée d’Entreont,,1,0,1,Place centrale \n Case postale 13\n 1937 Orsières\n Tel. 027 783 25 87\n Fax 027 783 30 18\n cveo@cveo.ch\n www.cveo.ch,,caisse_maladie_vallee_entremont.png,Die Krankenkasse wird von eine fünfköpfigen Verwaltungsrat geleitet~~~ de aurice Thétaz als Präsident vorsteht. Sie ist der CSS zugehörig~~~ wenn es u das Produktportfolio geht~~~ agiert aber als regionale Krankenkasse in Orsières und Ugebung. Sie positioniert sich als kundennaher und kopetenter Partner der Versicherten in der Region.\nDer Sitz der Caisse aladie de la Vallée d'Entreont liegt in Orsières; sie hat aktuell 7'950 Versicherte (Stand: 2012). Ihr Angebot ufasst sowohl die verpflichtende Krankenversicherung als auch freiwillige Zusatzversicherungen. Die Caisse aladie de la Vallée d'Entreont bietet verschiedene Rabattprograe~~~ zu Beispiel für Jugendliche~~~ an.,,N/A,8.2,8,7,9,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
820,Cassa da alsauns LUNEZIANA,,1,0,1,Postfach 41\n 7144 Vella\n Tel. 081 931 35 35\n Fax 081 936 81 66\n info@luneziana.ch,,,,,,8.2,8,7,9,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
1575,Copact Grundversicherungen AG\nCopact Assurances de base SA\nCopact Assicurazioni base SA,Ein Angebot der Sanitas,1,1,1,Jägergasse 3\n Postfach 2010\n 8021 Zürich\n Tel. 044 298 63 00\n Fax 044 298 62 50\n info@sanitas.co\n www.sanitas.co,,sanitas.png,Die Sanitas Krankenversicherung it Sitz in Zürich ist ein auf die Krankenversicherungspezialisierter Schweizer Versicherungskonzern. Die Unternehensgruppe zählte Anfang 2014 rund 824'000 Versicherte und erzielte 2013 it knapp 700 itarbeitern Präieneinnahen von 2~~~484 illiarden Schweizer Franken. Dait finanzierte Sanitas Versicherungsleistungen in Höhe von 2~~~338 illiarden Schweizer Franken.\nDie Gruppe verfügt über eine Holdingstruktur und ufasst fünf operativ tätige Tochtergesellschaften~~~ die auf den Gebieten der Grundversicherung (Sanitas~~~ Wincare und Copact) und der Zusatzversicherungen (Sanitas und Wincare) tätig sind. Die in der Rechtsfor einer Stiftung organisierte Sanitas Krankenversicherung bildet die Dachgesellschaft.\nDas Kerngeschäft der Sanitas Gruppe ist die Grundversicherung nach deKrankenversicherungsgesetz~~~ die rund 71 Prozent der gesaten Präieneinnahen ausacht. Die Sparte it den Zusatzversicherungen ist das zweite Standbein.,,N/A,7.8,7,7,8,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
