provider_name;provider_product_id;product;additional_cover;combine_of_additionals;own_risk;breed;breed_connection;weight;gender;0;1;2;3;4;5;6;7;8;9;10;11;12;13
HEMA;HEMA;Standaard zorgpakket;;;;;nee;0 - 10 kg;reu;12.09;12.09;12.09;15.11;15.11;16.93;16.93;18.14;18.14;;;;;
HEMA;HEMA;Standaard zorgpakket;;;;;nee;0 - 10 kg;teef;12.09;12.09;12.09;15.11;15.11;16.93;16.93;18.14;18.14;;;;;
HEMA;HEMA;Standaard zorgpakket;;;;;nee;11 - 25 kg;reu;13.90;13.90;13.90;17.38;17.38;19.46;19.46;20.85;20.85;;;;;
HEMA;HEMA;Standaard zorgpakket;;;;;nee;11 - 25 kg;teef;13.90;13.90;13.90;17.38;17.38;19.46;19.46;20.85;20.85;;;;;
HEMA;HEMA;Standaard zorgpakket;;;;;nee;26 - 40 kg;reu;15.72;15.72;15.72;19.64;19.64;22.00;22.00;23.57;23.57;;;;;
HEMA;HEMA;Standaard zorgpakket;;;;;nee;26 - 40 kg;teef;15.72;15.72;15.72;19.64;19.64;22.00;22.00;23.57;23.57;;;;;
HEMA;HEMA;Standaard zorgpakket;;;;;nee;41 - 55 kg;reu;16.32;16.32;16.32;20.40;20.40;22.84;22.84;24.48;24.48;;;;;
HEMA;HEMA;Standaard zorgpakket;;;;;nee;41 - 55 kg;teef;16.32;16.32;16.32;20.40;20.40;22.84;22.84;24.48;24.48;;;;;
HEMA;HEMA;Standaard zorgpakket;"Fysiotherapie, gedragstherapie en preventieve zorg ";;;;nee;0 - 10 kg;reu;6.29;6.29;6.29;6.61;6.61;6.92;6.92;7.87;7.87;;;;;
HEMA;HEMA;Standaard zorgpakket;"Fysiotherapie, gedragstherapie en preventieve zorg ";;;;nee;0 - 10 kg;teef;6.29;6.29;6.29;6.61;6.61;6.92;6.92;7.87;7.87;;;;;
HEMA;HEMA;Standaard zorgpakket;"Fysiotherapie, gedragstherapie en preventieve zorg ";;;;nee;11 - 25 kg;reu;6.61;6.61;6.61;6.93;6.93;7.27;7.27;8.26;8.26;;;;;
HEMA;HEMA;Standaard zorgpakket;"Fysiotherapie, gedragstherapie en preventieve zorg ";;;;nee;11 - 25 kg;teef;6.61;6.61;6.61;6.93;6.93;7.27;7.27;8.26;8.26;;;;;
HEMA;HEMA;Standaard zorgpakket;"Fysiotherapie, gedragstherapie en preventieve zorg ";;;;nee;26 - 40 kg;reu;6.92;6.92;6.92;7.27;7.27;7.61;7.61;8.65;8.65;;;;;
HEMA;HEMA;Standaard zorgpakket;"Fysiotherapie, gedragstherapie en preventieve zorg ";;;;nee;26 - 40 kg;teef;6.92;6.92;6.92;7.27;7.27;7.61;7.61;8.65;8.65;;;;;
HEMA;HEMA;Standaard zorgpakket;"Fysiotherapie, gedragstherapie en preventieve zorg ";;;;nee;41 - 55 kg;reu;7.24;7.24;7.24;7.60;7.60;7.96;7.96;9.05;9.05;;;;;
HEMA;HEMA;Standaard zorgpakket;"Fysiotherapie, gedragstherapie en preventieve zorg ";;;;nee;41 - 55 kg;teef;7.24;7.24;7.24;7.60;7.60;7.96;7.96;9.05;9.05;;;;;
HEMA;HEMA;Standaard zorgpakket;Tandarts;;;;nee;0 - 10 kg;reu;2.54;2.54;2.54;3.05;3.05;3.56;3.56;4.07;4.07;;;;;
HEMA;HEMA;Standaard zorgpakket;Tandarts;;;;nee;0 - 10 kg;teef;2.54;2.54;2.54;3.05;3.05;3.56;3.56;4.07;4.07;;;;;
