ID - KNIP	ID - BAG	Company	belongs to		Checked	Can be purchased	contract	Can be used for comparison	Adr.	Policy Conditions	Image	descripion_de	description_en	reviews	Gesammt Rating	Leistungsrückerstattung	Kundenzufriedenheit	Erreichbarkeit (Öffnungszeiten)	Erreichbarkeit (Kanal)	Knip Weiterempfehlung	positive	negative
55	294	Agilia Krankenkasse AG	Ein Angebot der KPT CPT	KPT CPT	yes	nein	Nein	Nein	KPT Krankenkasse AG  Tellstrasse 18  Postfach 8624  3001 Bern  Tel. 058 310 91 11  Fax 058 310 86 35  kpt@kpt.ch		kpt_cpt.png	Die KPT CPT Holding AG ist eine große Versicherung mit Hauptsitz in Bern. Bei ihr sind rund 450 Mitarbeiter beschäftigt, die circa 430.000 Versicherte betreuen. Gerade der Online-Markt wird von der Holding AG angesprochen und sie ist über ihre Internetseite 24 Stunden für ihre Kunden erreichbar. Vor allem die Buchstaben KPT stehen für eine besondere Bedeutung. K für Kompetenz, P für persönlich und T für Transparenz. Diesen Grundsatz leben die Mitarbeiter auch täglich bei ihrer Arbeit.		N/A	8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
56	1560	Agrisano Krankenkasse AG	-		yes	Yes	Nein	yes	Agrisano Krankenkasse AG  Laurstrasse 10   5201 Brugg AG   Tel. 056 461 71 11   Fax 056 461 71 07   info@agrisano.ch    www.agrisano.ch		agrisano.png	Gegenwärtig verfügt die Agrisano Versicherung über 140 Mitarbeiterinnen und Mitarbeiter, die sowohl in der Unternehmenszentrale in Brugg als auch in den zahlreichen Außenstellen in der gesamten Schweiz beschäftigt sind. Durch die enge Zusammenarbeit mit den übrigen Bauernverbänden des Landes weißt das Unternehmen eine exponierte Stellung unter den Nischenversicherern der Alpenrepublik auf. Darüber hinaus konzentriert sich das Versicherungsunternehmen vollends auf die versicherungstechnischen Bedürfnisse der von der Landwirtschaft lebenden Bevölkerung im Rahmen der gesetzlichen Grund- und Krankenversicherung. Weiterhin wartet das Unternehmen mit zahlreichen spezialisierten Produkten, wie der bäuerlichen Zusatzversicherung oder der Tagesgeldversicherung auf.		N/A	8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
48	32	Aquilana Versicherungen	-		yes	Yes	Nein	yes	Aquilana Versicherungen  Bruggerstrasse 46   5401 Baden   Tel. 056 203 44 44   Fax 056 203 44 99   info@aquilana.ch   www.aquilana.ch		aquilana_baden.png	Der Sitz dieses Unternehmens liegt in Baden, gelegen im Kanton Aargau. Die größten Einnahmen resultieren für das Unternehmen aus der Obligatorischen Krankenpflegeversicherung (OKP). Der Verein hat sich im Besonderen die Zufriedenheit seiner Kunden auf die Fahne geschrieben. Er ist im gesamten Schweizer Raum tätig und beschäftigt insgesamt 38 Mitarbeiter.		N/A	8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
47	1569	Arcosana AG	Ein Angebot der CSS	CSS Versicherung AG	yes	yes	Nein	yes	Tribschenstrasse 21   Postfach 2568   6002 Luzern   Tel. 058 277 11 11   Fax 058 277 12 12   css.info@css.ch   www.css.ch		css_Versicherungen_ag	Die Acrosana AG ist eine 100-prozentige Tochtergesellschaft der CSS Gruppe, eines auf Krankenversicherungen spezialisierten Schweizer Versicherungskonzerns.   Unter deren Dach befinden sich zudem auch die Versicherer Arcosana, Intras und Sanagate. Ende 2014 hatten rund 1,28 Millionen Personen eine Grundversicherung bei der CSS abgeschlossen. Insgesamt sind etwa 1,7 Millionen Kunden bei der CSS versichert. Die Prämieneinnahmen steigen um 2,5 Prozent auf 5.379 Mrd. Franken. Damit zählt CSS zu den führenden Schweizer Kranken-, Unfall- und Sachversicherern. Der in Luzern ansässige Versicherer wurde 1899 gegründet.		N/A	7,8	7	7	8	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
23	1542	Assura-Basis SA	-		Yes	Yes	Nein	yes	Avenue C.-F. Ramuz 70   1009 Pully   Tel. 021 721 44 11   Fax 021 721 46 99   assura@assura.ch    www.assura.ch		assura.png	Die Assura ist in der Rechtsform einer Stiftung organisiert. Mit über 700'000 Versicherten ist sie die zweitgrößte Krankenkasse der Schweiz. Sie beschäftigt in der Zentrale in Pully und ihren mittlerweile 13 Niederlassungen über 200 Mitarbeiter. Im Jahr 2010 erzielte das Unternehmen im Bereich der Grundversicherung einen Umsatz von 1,5 Mrd.CHF.  Eines der Unternehmensziele ist es von Anfang an, die Versicherungsprämien so niedrig wie möglich zu halten. Dementsprechend waren die Prämien der Assura in den letzten über 35 Jahren im Durchschnitt am günstigsten.  Seit 2011 ist das Unternehmen auch in sozialen Netzwerken aktiv. Unter anderem verfügt es über Profile auf Facebook, Twitter und YouTube.		N/A	8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
6	312	Atupri	-		Yes	Yes	Ja	yes	Zieglerstrasse 29   3000 Bern 65   Tel. 031 555 09 11   Fax 031 555 09 12   info@atupri.ch    www.atupri.ch		atupri.png	Die Atupri Krankenkasse hat ihren Sitz in Bern, wo sie zugleich auch ein Service Center betreibt. Daneben existieren noch Service Center in Lausanne, Lugano und Luzern. In Fribourg und in Zürich sind zwei Leistungscenter der Stiftung zu finden. So ist das Unternehmen auf dem gesamten Schweizer Markt präsent. Gegenwärtig sind mehr als 200 Mitarbeiter bei der Atupri beschäftigt. Das Angebot an Serviceleistungen umfasst hauptsächlich die obligatorische Krankenpflegeversicherung (OKP). Daneben können auch noch Kollektiv- und Zusatzversicherungen abgeschlossen werden. 2012 konnte das Unternehmen ein Geschäftsergebnis von 3,9 Millionen Schweizer Franken erzielen. Mit ungefähr 185.000 Versicherten ist sie in der Liste der 15 größten Schweizer Krankenversicherer zu finden.		N/A	8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
43	1565	Avanex	Ein Angebot der Helsana Gruppe	Helsana Gruppe	Yes	yes	Nein	yes	Helsana-Gruppe   Helsana Versicherungen AG   Postfach   8081 Zürich   Tel. 043 340 11 11   Fax 043 340 01 11   www.helsana.ch		helsana.png	Die Helsana AG mit Sitz in Dübendorf ist ein auf die Krankenversicherung spezialisierter Schweizer Versicherungskonzern. Mit 1,9 Millionen Versicherten und Prämieneinnahmen von 6 Milliarden Schweizer Franken ist die Helsana-Gruppe der führende Kranken- und Unfallversicherer der Schweiz. Die Unternehmensgruppe beschäftigt rund 3000 Mitarbeitende und umfasst fünf operativ tätige Tochtergesellschaften, die auf den Gebieten der Grundversicherung, der Zusatzversicherungen und der Unfallversicherungen tätig sind. Diese treten unter den Namen Helsana, Progrès, Sansan und Avanex als eigenständige Marken am Markt auf. Das Kerngeschäft der Helsana-Gruppe bildet die Grundversicherung nach dem Krankenversicherungsgesetz und generiert damit rund 70 Prozent der gesamten Prämieneinnahmen. Die Sparte Zusatzversicherungen bildet mit 27 Prozent der Prämieneinnahmen das zweite Standbein. Daneben bietet die Gruppe Unternehmen und Verbänden Kollektivtaggeld- und Unfallversicherungen sowie Lösungen in der beruflichen Vorsorge an.		N/A	8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
53	343	Avenir	Ein Angebot der Groupe Mutuel	Groupe Mutuel	Yes	Yes	Nein	yes	Groupe Mutuel   Avenir Assurance Maladie   Rue des Cèdres 5   1920 Martigny   Tel. 0848 803 111   Fax 0848 803 112   info@groupemutuel.ch   www.groupemutuel.ch		groupe_mutuel.png	Rund 1,2 Millionen (1'190'000) Einzelversicherte sind den Mitgliedskrankenversicherern der Groupe Mutuel für die obligatorische Krankenpflegeversicherung (OKP) angeschlossen. Zählt man die Versicherten mit nur einer privaten Zusatzversicherung dazu, beträgt die Versichertenzahl 1,4 Millionen. Rund 17'000 Unternehmen aus allen Tätigkeitsbereichen vertrauen bei ihren Taggeldversicherungen, Unfallversicherungen und der beruflichen Vorsorge voll und ganz den Versicherern der Groupe Mutuel. Der Umsatz aller Mitgliedsgesellschaften übersteigt 4,6 Milliarden Franken, rund 3,7 Milliarden stammen aus dem Bereich Krankenversicherung. Die Krankenversicherer der Groupe Mutuel bieten umfassende Lösungspakete in der obligatorischen Krankenpflegeversicherung und den Zusatzversicherungen an. Die Groupe Mutuel verwaltet ausserdem zwei Vorsorgestiftungen: die schweizweit tätige Groupe Mutuel Vorsorge und die Walliser Vorsorge, die auf die Unternehmen im Kanton Wallis ausgerichtet ist. Die Groupe Mutuel Leben GMV AG deckt den Bereich Lebensversicherungen ab. Mit ihren verschiedenen Versicherungsgesellschaften ist die Groupe Mutuel, Association d’assureurs, ein umfassendes Unternehmen, das Einzelpersonen sowie Unternehmen mit bedarfsgerechten Versicherungslösungen unterstützt.		N/A	8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
?	1179	Caisse-maladie du Personnel   communal de la Ville de Neuchâtel	Ein Angebot der Groupe Mutuel	Groupe Mutuel	Macht nur Taggeld => Löschen?  mit Sven besprochen, Entscheid  Löschen.	nein	nein	nein	Hôtel de Ville   2000 Neuchâtel   Groupe Mutuel   Caisse-maladie du Personnel communal de    la Ville de Neuchâtel   Rue du Nord 5   1920 Martigny   Tel. 0848 803 111   Fax 0848 803 112   info@groupemutuel.ch   www.groupemutuel.ch		groupe_mutuel.png	-			7,6	7	7	8	8	8	Sehr freundlich  Guter Service	Schwer erreichbar
60	1113	Caisse-maladie Vallée d’Entremont	-		Für Vorversicherungs Vergleich	Yes	Nein	yes	Place centrale    Case postale 13   1937 Orsières   Tel. 027 783 25 87   Fax 027 783 30 18   cmveo@cmveo.ch   www.cmveo.ch		caisse_maladie_vallee_entremont	Die Krankenkasse wird von einem fünfköpfigen Verwaltungsrat geleitet, dem Maurice Thétaz als Präsident vorsteht. Sie ist der CSS zugehörig, wenn es um das Produktportfolio geht, agiert aber als regionale Krankenkasse in Orsières und Umgebung. Sie positioniert sich als kundennaher und kompetenter Partner der Versicherten in der Region.  Der Sitz der Caisse Maladie de la Vallée d'Entremont liegt in Orsières; sie hat aktuell 7'950 Versicherte (Stand: 2012). Ihr Angebot umfasst sowohl die verpflichtende Krankenversicherung als auch freiwillige Zusatzversicherungen. Die Caisse Maladie de la Vallée d'Entremont bietet verschiedene Rabattprogramme, zum Beispiel für Jugendliche, an.		N/A	8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
