ID - KNIP	ID - BAG	Company	Abreviation	belongs to	Motherhouse	Can be purchased	contract	Can be used for comparison	Adr.	Policy Conditions	Image	descripion_de	description_en	Reviews	Gesamtnote	Tage bis Rückerstattung	Geschwindigkeit \nRückerstattung	Kunden\nzufriedenheit	Knip \nKollaboration	positive 	negative	E-mail\napplication
56	1560	Agrisano Krankenkasse AG	Agrisano	-		Yes	Nein	yes	Agrisano Krankenkasse AG\nLaurstrasse 10\n 5201 Brugg AG\n Tel. 056 461 71 11\n Fax 056 461 71 07\n info@agrisano.ch \n www.agrisano.ch		agrisano.png	Die Agrisano Krankenkasse AG hat drei Kernbereiche – die obligatorische Grundversicherung, die KVG-Taggeldversicherung sowie die Unfallversicherung nach UVG – und zählt bereits über 125'000 Grundversicherte. Diese sind bereit, grösstmöglich eigenverantwortlich zu handeln und dennoch die gegenseitige Solidarität zu respektieren. Diese Verhaltensweise ist hauptverantwortlich für die niedrigen Prämien. Kleine Risiken sollen selber getragen werden. Hingegen gilt es, grosse Risiken ausreichend zu versichern.	 		8.4	3	10.0	8.7	6.7	Speziell für Bauern\nKulturelles Engagement		info@agrisano.ch
48	32	Aquilana Versicherungen	Aquilana	-		Yes 	Nein	yes	Aquilana Versicherungen\nBruggerstrasse 46\n 5401 Baden\n Tel. 056 203 44 44\n Fax 056 203 44 99\n info@aquilana.ch\n www.aquilana.ch		aquilana_baden.png	Der Sitz dieses Unternehmens liegt in Baden, gelegen im Kanton Aargau. Die größten Einnahmen resultieren für das Unternehmen aus der Obligatorischen Krankenpflegeversicherung (OKP). Der Verein hat sich im Besonderen die Zufriedenheit seiner Kunden auf die Fahne geschrieben. Er ist im gesamten Schweizer Raum tätig und beschäftigt insgesamt 38 Mitarbeiter.	 		8.6	4	10.0	9.0	6.7	Kurze Erstattungszeiten\nSistierung bei langen Reisen		info@aquilana.ch
47	1569	Arcosana AG	Arcosana	Ein Angebot der CSS	CSS Versicherung AG	yes	Nein	yes	Tribschenstrasse 21\n6002 Luzern\nTel. 058 277 11 11\nFax 058 277 12 12\ninfo.mail@arcosana.ch\nwww.arcosana.ch		arcosana_css.png	Die Acrosana AG ist eine 100-prozentige Tochtergesellschaft der CSS Gruppe. Die CSS Krankenkasse gehört zur CSS Holding AG. Unter deren Dach befinden sich zudem auch die Versicherer Arcosana, Intras und Sanagate. Die CSS Gruppe mit Sitz in Luzern wurde 1899 gegründet. Das traditionsreiche Unternehmen versichert rund 1,64 Millionen Menschen und zählt mit einem Prämienvolumen von 5,5 Milliarden Franken zu den führenden Schweizer Kranken-, Unfall- und Sachversicherern. In der Grundversicherung ist sie Marktleader: 1,31 Millionen Menschen vertrauen der CSS, die mit 116 Agenturen schweizweit und rund 2700 Mitarbeitenden nahe bei ihren Versicherten ist. Auch im Unternehmensgeschäft nimmt sie eine Spitzenposition ein: Rund 20‘600 Unternehmen und Institutionen sind bei der CSS Gruppe kollektiv versichert.\n\n	 		7.9	8	8.3	8.8	6.7	Grösster Krankenkversicherer\nVertrauenswürdigste Kasse		info.mail@arcosana.ch
23	1542	Assura-Basis SA	Assura	-		Yes	Nein	yes	Avenue C.-F. Ramuz 70\n 1009 Pully\n Tel. 021 721 44 11\n Fax 021 721 46 99\nassura@assura.ch \n www.assura.ch		assura.png	Die Assura ist in der Rechtsform einer Stiftung organisiert. Mit über 700'000 Versicherten ist sie die zweitgrößte Krankenkasse der Schweiz. Sie beschäftigt in der Zentrale in Pully und ihren mittlerweile 13 Niederlassungen über 200 Mitarbeiter. Im Jahr 2010 erzielte das Unternehmen im Bereich der Grundversicherung einen Umsatz von 1,5 Mrd.CHF.\nEines der Unternehmensziele ist es von Anfang an, die Versicherungsprämien so niedrig wie möglich zu halten. Dementsprechend waren die Prämien der Assura in den letzten über 35 Jahren im Durchschnitt am günstigsten.\nSeit 2011 ist das Unternehmen auch in sozialen Netzwerken aktiv. Unter anderem verfügt es über Profile auf Facebook, Twitter und YouTube.	 		6.7	34	5.0	6.9	8.3		Langsame Rückerstattung\nGeringe Kundenzufriedenheit	\nofferte@assura.ch 
6	312	Atupri	Atupri	-		Yes	Yes	yes	Zieglerstrasse 29\n 3000 Bern 65\n Tel. 031 555 09 11\n Fax 031 555 09 12\n info@atupri.ch \n www.atupri.ch		atupri.png	Die Atupri Krankenkasse hat ihren Sitz in Bern, wo sie zugleich auch ein Service Center betreibt. Daneben existieren noch Service Center in Lausanne, Lugano und Luzern. In Fribourg und in Zürich sind zwei Leistungscenter der Stiftung zu finden. So ist das Unternehmen auf dem gesamten Schweizer Markt präsent. Die Atupri Krankenkasse gehört zu den 15 grössten Krankenversicherern der Schweiz. Sie hat sich als erfolgreiche, innovative und finanziell gesunde Unternehmung im Markt gut positioniert. Mit ihren Prämien nimmt Atupri einen sicheren Platz als Krankenversicherer mit einem dauerhaft sehr guten Preis-Leistungs-Verhältnis ein. Daneben können auch noch Kollektiv- und Zusatzversicherungen abgeschlossen werden. 	 		9.6	3	10.0	8.7	10.0	Schnelle Rückerstattung\nUnterstützt Bewegung		info@atupri.ch 
43	1565	Avanex		Ein Angebot der Helsana Gruppe	Helsana Gruppe	nein	Nein	nein	Helsana-Gruppe\navanex Versicherungen AG \nPostfach\n8081 Zürich\nTel. 043 340 11 13\nFax 043 340 01 11\nwww.avanex.ch		avanex_helsana.png	Die Helsana AG mit Sitz in Dübendorf ist ein auf die Krankenversicherung spezialisierter Schweizer Versicherungskonzern. Mit 1,9 Millionen Versicherten und Prämieneinnahmen von 6 Milliarden Schweizer Franken ist die Helsana-Gruppe der führende Kranken- und Unfallversicherer der Schweiz. Die Unternehmensgruppe beschäftigt rund 3000 Mitarbeitende und umfasst fünf operativ tätige Tochtergesellschaften, die auf den Gebieten der Grundversicherung, der Zusatzversicherungen und der Unfallversicherungen tätig sind. Diese treten unter den Namen Helsana, Progrès, Sansan und Avanex als eigenständige Marken am Markt auf. Das Kerngeschäft der Helsana-Gruppe bildet die Grundversicherung nach dem Krankenversicherungsgesetz und generiert damit rund 70 Prozent der gesamten Prämieneinnahmen. Die Sparte Zusatzversicherungen bildet mit 27 Prozent der Prämieneinnahmen das zweite Standbein. Daneben bietet die Gruppe Unternehmen und Verbänden Kollektivtaggeld- und Unfallversicherungen sowie Lösungen in der beruflichen Vorsorge an.\n\n				1						kb1.zuerich@helsana.ch
53	343	Avenir	Avenir	Ein Angebot der Groupe Mutuel	Groupe Mutuel	Yes	Nein	yes	Groupe Mutuel\n Avenir Assurance Maladie\n Rue des Cèdres 5\n 1920 Martigny\n Tel. 0848 803 111\n Fax 0848 803 112\n info@groupemutuel.ch\n www.groupemutuel.ch		avenir_gm.png	Die Groupe Mutuel, Association d’assureurs, vereint mehrere selbstständige Gesellschaften, die in den Bereichen Kranken- und Unfallversicherung, berufliche Vorsorge und Lebensversicherung tätig sind.\nDie Wurzeln der Groupe Mutuel reichen weit zurück: Die Groupe Mutuel wurde 1993 gegründet und ist Erbin des ersten gemeinnützigen Hilfsvereins des Kantons Wallis, der 1852 in St-Maurice (VS) gegründet wurde.\nDie Mitgliedsgesellschaften sind rechtlich selbstständig und haben ihre eigenen Rechtsorgane; die Groupe Mutuel stellt ihnen ihre Personalressourcen und Infrastruktur zur Verfügung. Diese Zusammenlegung von Ressourcen schafft nützliche und fruchtbare Synergien, die allen Partnergesellschaften zugute kommen. Die Groupe Mutuel hat zur Aufgabe, folgende in der obligatorischen Krankenpflegeversicherung tätigen Krankenversicherer zu verwalten und ihre Interessen zu vertreten: Mutuel Krankenversicherung AG, Philos Krankenversicherung AG, Avenir Krankenversicherung AG, EasySana Krankenversicherung AG, SUPRA-1846 SA und AMB. Sie verwaltet auch zwei Privatversicherer für die Zusatzversicherungen: Groupe Mutuel Versicherungen GMA AG und Mutuel Versicherungen AG, sowie die Groupe Mutuel Leben GMV AG.	 		6.3	11	7.5	6.4	5.0		Zu tiefe Solvenzquote\nGeringe Kundenzufriedenheit	info@groupemutuel.ch
\n\nKOMPARU:\nDISREGARD\n\nNicht Erfassen! \nKK Macht nur Taggeld	1179	Caisse-maladie du Personnel \ncommunal de la Ville de Neuchâtel		Ein Angebot der Groupe Mutuel	Groupe Mutuel	nein	nein	nein	Hôtel de Ville\n 2000 Neuchâtel\n Groupe Mutuel\n Caisse-maladie du Personnel communal de \n la Ville de Neuchâtel\n Rue du Nord 5\n 1920 Martigny\n Tel. 0848 803 111\n Fax 0848 803 112\n info@groupemutuel.ch\n www.groupemutuel.ch		groupe_mutuel.png	-										info@groupemutuel.ch
60	1113	Caisse-maladie Vallée d’Entremont	CMVEO	-		Yes	Nein	yes	Place centrale \n Case postale 13\n 1937 Orsières\n Tel. 027 783 25 87\n Fax 027 783 30 18\n cmveo@cmveo.ch\n www.cmveo.ch		caisse_maladie_vallee_entremont	Die Caisse Maladie de la Vallée d'Entremont ist eine Regionale Kasse und haubtsächlich in der Westschweiz tätig, sie zählt ca 50'000 Versicherte. Produkte der Zusatzversicherung werden über die Groupe Mutuel angeboten. 	 		n.v.	8	9.2	-	6.7			cmveo@cmveo.ch
3304	820	Cassa da malsauns LUMNEZIANA	Lumeziana			Yes	Nein	yes	Postfach 41\n 7144 Vella\n Tel. 081 931 35 35\n Fax 081 936 81 66\n info@lumneziana.ch		no image	-	 		7.6	17	6.7	9.6	6.7	Hohe Kundenzufriedenheit	Langsame Rückerstattung	info@lumneziana.ch
